id,topic,type,post_text,status
001,BariaDAO,SelfPromotion,"I’m developing @BariaDAO as an evolving experiment in #CollectiveIntelligence - not a product to ship, but a process to grow.

What happens when coordination is allowed to mature instead of rush?

⬇ https://baria.bparlan.com

Make sure to subscribe to newsletter for future updates!",approved
002,Lombard Ref,RefLink,"Every Thursday I convert dusts and leftover tokens into $LBTC & stake into vault. Those sats are for my retirement...

Stake your $BTC with @Lombard_Finance for being future-proof.

My reflink provides an additional 10% Lux for you!

⬇ https://www.lombard.finance/app/stake/?referrer=m6tdan",approved
003,Metamask Ref,RefLink,"So @MetaMask now lets you bet on wars directly in your wallet

we've reached the ""dystopia but make it self-custodial"" phase of crypto

my ref code if you want in on this: KHG2PA

⬇ https://link.metamask.io/rewards?referral=KHG2PA",approved
004,Teaching,SelfPromotion,"I teach #DigitalLiteracy, #AIPrompting, and #Blockchain starting from how people actually use them — not how whitepapers describe them.

What part of modern tech feels most disconnected from reality to you?

⬇ https://start.bparlan.com",approved
005,Grass Ref,RefLink,"Your idle bandwidth isn’t “wasted” - it’s the missing piece of the #DePIN puzzle.

@grass turns your device into a secure node in a global network, anonymously relaying unused internet to scrape public web data for sovereign AI data rollups. No central gatekeepers. Just pure, privacy-first infrastructure for the intelligence of tomorrow.

Join the network & help build it:
https://app.grass.io/register?referralCode=SRoIUJxSozsADqT

#GrassNetwork",approved
006,Linktree,SelfPromotion,"I keep the things that matter to me — #Tech, #Art, #Writing, experiments — connected in one place.

Do you prefer discovering someone’s work through structure, or intuition?

⬇ https://linktr.ee/bparlan",approved
007,Binance Ref,RefLink,"For better or worse, @Binance is still one of the main gateways into #Crypto for many people. Understanding how these centralized layers work is part of real #DigitalLiteracy.

Sharing my referral link below if you want to explore it yourself

⬇ https://accounts.binance.com/en/register?ref=YKR77QOE%20",approved
008,Personal Website,SelfPromotion,"I still maintain a personal website — hosted on #VPS with support of #opensource #selfhosting solution @coolifyio , outside timelines and algorithms.

Does digital independence still matter in 2026?

⬇ https://bparlan.com/

Make sure to subscribe to newsletter for future updates!",approved
009,digiTale Journey,SelfPromotion,"#digiTaleJourney (v0.9) came out of my exploration of #RemixCulture after stepping away from a PhD.

Can research still be valid outside formal academia?

⬇ https://vimeo.com/450065442",approved
010,Audius Ref,RefLink,"So, @audius lets musicians own their work instead of Spotify owning their souls, which honestly sounds fake in 2026 but here we are...

ref link if you want to test if this is real:

⬇ https://audius.co/signup?rf=bparlan",approved
011,BariaDAO,SelfPromotion,"To put simply: @BariaDAO isn’t about launching fast. It’s about letting ideas, trust, and structure form over time.

Do you think meaningful systems can emerge without pressure to “deliver”?

⬇ https://baria.bparlan.com

Make sure to subscribe to newsletter for future updates!",approved
012,Limitless Ref,RefLink,"In #PredictionMarkets; @trylimitless caught my attention as a way to think about #HumanPotential through tools, reflection, and systems — not hustle culture. Interesting to see tech framed around awareness instead of productivity.

Referral link below if you’re curious

⬇ Try Limitless via my Ref: https://limitless.exchange/?r=FM58XPGRGO",approved
013,Teaching,SelfPromotion,"Most blockchain “education” ignores a simple fact: real #onchain wallet usage is still low, and centralization fills the gap.

Would tech make more sense if we talked about it more honestly?

⬇ https://start.bparlan.com",approved
014,Grass Ref,RefLink,"Picture this: every unused Mbps on the planet quietly fueling ethical, live web-scale datasets for AI—no more scraping bottlenecks, no more data monopolies. 

@grass is the decentralized bandwidth layer making that future real, one background node at a time. Seamless. Secure. Revolutionary. 

Be part of the data renaissance:

https://app.grass.io/register?referralCode=SRoIUJxSozsADqT

#BandwidthForAI",approved
015,Linktree,SelfPromotion,"This isn’t a list of links — it’s how I personally map my interests and work across time.

How do you keep track of the things that matter to you?

⬇ https://linktr.ee/bparlan",approved
016,Farcaster Ref,RefLink,"I’ve been spending time on @farcaster_xyz as an experiment in #DecentralizedSocial — quieter, more intentional, less algorithm-driven. It feels closer to conversations than timelines.

Sharing my referral link below for you to get 20% off trading fees

⬇ https://farcaster.xyz/~/code/GCLL1U",approved
017,Personal Website,SelfPromotion,"My website is where my work doesn’t disappear, get optimized, or reshaped by platforms.

Do you trust people more when they own their digital space?

⬇ https://bparlan.com/

Make sure to subscribe to newsletter for future updates!",approved
018,BariaDAO,SelfPromotion,"Reality; @BariaDAO is a #DAO that doesn't pretend to know what it's doing yet

most DAOs speedrun governance theatre — we're watching what actually emerges when you don't fake urgency

⬇ https://baria.bparlan.com

Make sure to subscribe to newsletter for future updates!",approved
019,Metamask Ref,RefLink,"Just in 🔥 @MetaMask Mobile now has native @Polymarket built-in!

#BetOnAnything — such as wars, disasters, mass killings — directly in your wallet, super smooth, self-custodial!

use my referral link when joining, you get extra points!

Referral code: KHG2PA

⬇ Link: https://link.metamask.io/rewards?referral=KHG2PA",approved
020,Audius Ref,RefLink,"been uploading my shower thoughts as 3-hour ambient drone tracks to @audius 

no one asked for this but decentralization means no one can stop me either

join me in ruining algorithms:

⬇ https://audius.co/signup?rf=bparlan",approved
021,digiTale Journey,SelfPromotion,"I’m a PhD dropout — and #digiTaleJourney is part of what emerged from that freedom. A 50min long audio-visual #remix storytelling experimentation.

Is leaving an institution always failure, or sometimes alignment?

⬇ https://vimeo.com/450065442",approved
,TaskOn Ref,RefLink,"I like @taskonxyz because it shows how #Onchain coordination and learning can happen through small actions, not hype.

Feels closer to “learning by doing” than marketing.
Referral link below if you want to try it

⬇ https://taskon.xyz/TaskOnClub?task=899234669&invite=Nu1S4r4w",idea
,CoinTerminal Ref,RefLink,"If you want exposure to early-stage crypto projects before narratives fully form, @CoinTerminal is interesting. Not advice — just a tool worth understanding in the broader #Web3 landscape.

My referral link is below 👇

⬇ https://www.cointerminal.com/affiliates",idea
,Kalshi Ref,RefLink,"I’ve been exploring @Kalshi as a way to think about real-world events through #PredictionMarkets, not opinions.

It’s interesting how probabilities can clarify uncertainty better than debates.

If you’re curious, my referral link is below 👇",idea
,Grass Ref,RefLink,https://app.grass.io/register?referralCode=SRoIUJxSozsADqT,idea
,BuyMeCoffee,SelfPromotion,https://studio.buymeacoffee.com/extras,idea
,RheaFinance,RefLink,https://app.rhea.finance?code=BQGLtPc,idea
,Substack,SelfPromotion,,idea
,Patreon?,SelfPromotion,,idea